GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
NC_027919,JPN,cow,2014,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,Kagoshima-1-22-KoV/2014/JPN,Unknown,Unknown
NC_027918,JPN,cow,2015,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Kagoshima-2-24-KoV/2015/JPN,Unknown,Unknown
NC_027054,CHN,asymptomatic piglets,2014,aichivirus C1,Unknown,JS-02a-CHN/2014/China,fecal samples
NC_015936,USA,Peromyscus crinitus,2010,Mouse kobuvirus M-5/USA/2010,M-5,Unknown,feces
MH052678,AUS,dog,2012,aichivirus A2,Unknown,CaKoV_CE9_AUS_2012,feces
LT898428,Unknown,Unknown,Unknown,aichivirus C1,Unknown,PKV/GER/L00919-K17_14-02/2014,Unknown
MG200054,AUS,human,2008,Kobuvirus aichi,FSS693,Unknown,Faeces
MF506730,USA,pig,2011,aichivirus C1,Unknown,OH/RV11/2011,fecal sample from piglet
LC210622,JPN,pig,2014,aichivirus C1,PoKoV/Buta16/JPN/2014,Unknown,Unknown
LC210621,JPN,pig,2014,aichivirus C1,PoKoV/Tochigi-IO3/JPN/2014,Unknown,Unknown
LC210620,JPN,pig,2015,aichivirus C1,PoKoV/Tochigi-IN30/JPN/2015,Unknown,Unknown
LC210619,JPN,pig,2015,aichivirus C1,PoKoV/Ishi-Ta4/JPN/2015,Unknown,Unknown
LC210618,JPN,pig,2015,aichivirus C1,PoKoV/Ishi-Ta3/JPN/2015,Unknown,Unknown
LC210617,JPN,pig,2015,aichivirus C1,PoKoV/Ishi-Sa5/JPN/2015,Unknown,Unknown
LC210616,JPN,pig,2015,aichivirus C1,PoKoV/Ishi-Ka3/JPN/2015,Unknown,Unknown
LC210615,JPN,pig,2015,aichivirus C1,PoKoV/Ishi-Im6/JPN/2015,Unknown,Unknown
LC210614,JPN,pig,2015,aichivirus C1,PoKoV/Ishi-Im5/JPN/2015,Unknown,Unknown
LC210613,JPN,pig,2016,aichivirus C1,PoKoV/Iba444-2/JPN/2016,Unknown,Unknown
LC210612,JPN,pig,2015,aichivirus C1,PoKoV/Iba27-372/JPN/2015,Unknown,Unknown
LC210611,JPN,pig,2014,aichivirus C1,PoKoV/Bu9-10/JPN/2014,Unknown,Unknown
LC210610,JPN,pig,2014,aichivirus C1,PoKoV/Bu7-9/JPN/2014,Unknown,Unknown
LC210609,JPN,pig,2014,aichivirus C1,PoKoV/Bu6-6/JPN/2014,Unknown,Unknown
LC210608,JPN,pig,2014,aichivirus C1,PoKoV/Bu5-6/JPN/2014,Unknown,Unknown
LC210607,JPN,pig,2014,aichivirus C1,PoKoV/Bu4-6/JPN/2014,Unknown,Unknown
LC210606,JPN,pig,2014,aichivirus C1,PoKoV/Bu4-4/JPN/2014,Unknown,Unknown
LC210605,JPN,pig,2014,aichivirus C1,PoKoV/Bu4-2/JPN/2014,Unknown,Unknown
LC210604,JPN,pig,2014,aichivirus C1,PoKoV/Bu3-5/JPN/2014,Unknown,Unknown
LC210603,JPN,pig,2014,aichivirus C1,PoKoV/Bu2-6/JPN/2014,Unknown,Unknown
LC210602,JPN,pig,2014,aichivirus C1,PoKoV/Bu2-5/JPN/2014,Unknown,Unknown
LC210601,JPN,pig,2014,aichivirus C1,PoKoV/Bu2-3/JPN/2014,Unknown,Unknown
LC210600,JPN,pig,2014,aichivirus C1,PoKoV/Bu2-2/JPN/2014,Unknown,Unknown
LC210599,JPN,pig,2014,aichivirus C1,PoKoV/Bu1-8/JPN/2014,Unknown,Unknown
KY855436,CHN,marmot,2013,Marmot kobuvirus,HT9,Unknown,Unknown
MF947441,VNM,human,2014,Kobuvirus sp.,16317x87,Unknown,feces
MG800807,CHN,pig,2015,aichivirus C1,Unknown,Chgz5,Unknown
MG800806,CHN,pig,2015,aichivirus C1,Unknown,Chgz4,Unknown
MG800805,CHN,pig,2015,aichivirus C1,Unknown,Chgz3,Unknown
MG800804,CHN,pig,2015,aichivirus C1,Unknown,Chgz2,Unknown
MG800803,CHN,pig,2015,aichivirus C1,Unknown,Chgz1,Unknown
MF062158,CHN,dog,2015,aichivirus A2,Unknown,SMCD-59,feces
MF062452,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G2/2012/CH,intestinal tissues and fecal samples
MF062451,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G5/2012/CH,intestinal tissues and fecal samples
MF062450,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G6/2012/CH,intestinal tissues and fecal samples
MF062449,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G7/2012/CH,intestinal tissues and fecal samples
MF062448,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G8/2012/CH,intestinal tissues and fecal samples
MF062447,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G9/2012/CH,intestinal tissues and fecal samples
MF062446,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G11/2012/CH,intestinal tissues and fecal samples
MF062445,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G12/2012/CH,intestinal tissues and fecal samples
MF062444,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G13/2013/CH,intestinal tissues and fecal samples
MF062443,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G14/2013/CH,intestinal tissues and fecal samples
MF062442,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G15/2013/CH,intestinal tissues and fecal samples
MF062441,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G16/2013/CH,intestinal tissues and fecal samples
MF062440,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G17/2013/CH,intestinal tissues and fecal samples
MF062439,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G18/2013/CH,intestinal tissues and fecal samples
MF062438,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G19/2013/CH,intestinal tissues and fecal samples
MF062437,CHN,pig,2013,aichivirus C1,Unknown,Guangxi/G20/2013/CH,intestinal tissues and fecal samples
MF062436,CHN,pig,2014,aichivirus C1,Unknown,Guangxi/G21/2014/CH,intestinal tissues and fecal samples
MF062435,CHN,pig,2012,aichivirus C1,Unknown,Guangxi/G1/2012/CH,intestinal tissues and fecal samples
LC055961,JPN,cow,2014,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,Kagoshima-1-22-KoV/2014/JPN,Unknown,Unknown
LC055960,JPN,cow,2015,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Kagoshima-2-24-KoV/2015/JPN,Unknown,Unknown
KP260507,CHN,asymptomatic piglets,2014,aichivirus C1,Unknown,JS-02a-CHN/2014/China,fecal samples
KM091960,ITA,cat,2013,aichivirus A4,FeKoV/TE/52/IT/13,Unknown,fecal sample
JQ911763,CHN,dog,2011,aichivirus A2,CH-1,Unknown,stool
KF695124,CHN,pig,2008,aichivirus C1,Unknown,ch-kobu/2008/China,feces
KC161964,GBR,dog,2008,aichivirus A2,UK003,Unknown,Unknown
JN088541,USA,dog,2010,aichivirus A2,US-PC0082,Unknown,feces
NC_004421,Unknown,Unknown,Unknown,aichivirus B,U-1,Unknown,bovine
AB084788,Unknown,Unknown,Unknown,aichivirus B,U-1,Unknown,bovine
EU787450,HUN,pig,2007,aichivirus C1,swine/S-1-HUN/2007/Hungary,Unknown,feces
PP211370,CHN,rat,2018,aichivirus A8,Unknown,Ra.norvegicus_picorna_15,Unknown
PP211369,CHN,rat,2018,aichivirus A8,Unknown,Ra.norvegicus_picorna_14,Unknown
PP211368,CHN,rat,2018,aichivirus A8,Unknown,Ra.norvegicus_picorna_13,Unknown
MW292482,CHN,rat,2015,aichivirus A8,Unknown,MuKV/XM34/CHN,stool
MW292481,CHN,rat,2015,aichivirus A8,Unknown,MuKV/XM86/CHN,stool
MW292480,CHN,rat,2017,aichivirus A8,Unknown,MuKV/YN27/CHN,stool
OQ363763,CHN,Rhizomys pruinosus,2019,Kobuvirus aichi,Unknown,GX/B45M0208/2019,Unknown
KF793927,KOR,black goat,2012,aichivirus C2,Unknown,12Q108,stool
OR148643,KOR,cow,2022,aichivirus D,Unknown,53954,calf diarrheic feces
OR148642,KOR,cow,2022,aichivirus D,Unknown,23358,calf diarrheic feces
OR148641,KOR,cow,2022,aichivirus B,Unknown,00217,calf diarrheic feces
OR148640,KOR,cow,2022,aichivirus B,Unknown,NA4475,calf diarrheic feces
OR148639,KOR,cow,2022,aichivirus B,Unknown,85282,calf diarrheic feces
OR148638,KOR,cow,2022,aichivirus B,Unknown,71346,calf diarrheic feces
OR148637,KOR,cow,2022,aichivirus B,Unknown,18897,calf diarrheic feces
OR148636,KOR,cow,2022,aichivirus B,Unknown,00276,calf diarrheic feces
OP805598,ITA,cow,2021,aichivirus B,Unknown,Bovine_59254_11/21 TR,rectal swab
OP805597,ITA,cow,2021,aichivirus B,Unknown,Bovine_59254_2/21 TR,rectal swab
OP805596,ITA,calf,2021,aichivirus B,Unknown,Calf 300917/2021,rectal swab
GU245693,HUN,sheep,2009,aichivirus B3,sheep/TB3/HUN/2009,Unknown,feces
OM451219,CHN,rat,2020,Kobuvirus aichi,Unknown,GX-F2,Unknown
OM451218,CHN,rat,2020,Kobuvirus aichi,Unknown,GX-F1,Unknown
PV605185,CHN,Bandicota indica,2022,aichivirus A8,Unknown,22AP502,Unknown
PX390164,ARG,Unknown,2020,aichivirus A1,Unknown,Env/ARG/BG-ARE/Summer 2020,influent wastewater
PX390163,ARG,Unknown,2019,aichivirus A1,Unknown,Env/ARG/BG-ARE/Summer 2019,influent wastewater
PV544232,USA,mouse,2024,aichivirus A8,MKV/UMN/2024,UMN_2024,Unknown
MF352432,CHN,rat,2012,aichivirus A9,Wencheng-Rt386-2,Unknown,feces
KT325852,HUN,rabbit,2013,aichivirus E1,Rabbit01/2013/HUN,Unknown,fecal sample
OQ121963,KOR,human,2019,aichivirus A1,Unknown,hu/C8_Seoul_02/2019,stool
JF755427,USA,Peromyscus crinitus,2010,aichivirus A3,M-5,Unknown,feces
OP255993,NLD,human,2018,aichivirus A1,A_RIVM_R04-15/Hu/NL/2019,Unknown,feces
NC_074775,Unknown,Unknown,Unknown,aichivirus A1,Unknown,Unknown,Unknown
OP821762,Unknown,rabbit,2019,Rabbit picornavirus,UJS-2019,Unknown,feces
KY432931,CHN,rodent,Unknown,aichivirus A7,Unknown,RtMruf-PicoV/JL2014-2,Unknown
MK372825,PAK,human,2016,aichivirus A1,PAK663,Unknown,feces
MK372824,PAK,human,2016,aichivirus A1,PAK622,Unknown,feces
MK372823,PAK,human,2016,aichivirus A1,PAK585,Unknown,feces
MK372822,PAK,human,2016,aichivirus A1,PAK419,Unknown,feces
MK372821,PAK,human,2015,aichivirus A1,PAK56,Unknown,feces
NC_001918,Unknown,human,Unknown,aichivirus A1,Unknown,A846/88,Unknown
JX564249,TWN,human,2010,aichivirus A1,kvgh99012632/2010,Unknown,stool
GQ927712,DEU,human,2004,aichivirus A1,D/VI2244/2004,Unknown,stool
GQ927711,DEU,human,2004,aichivirus A1,D/VI2287/2004,Unknown,stool
GQ927706,DEU,human,2004,aichivirus A1,D/VI2321/2004,Unknown,stool
GQ927705,DEU,human,2004,aichivirus A1,D/VI2359/2004,Unknown,stool
GQ927704,DEU,human,2004,aichivirus A1,D/VI2169/2004,Unknown,stool
AY747174,DEU,Unknown,Unknown,aichivirus A1,Unknown,BAY/1/03/DEU,Unknown
FJ890523,CHN,human,2008,aichivirus A1,Unknown,Chshc7,Unknown
DQ028632,BRA,Unknown,Unknown,aichivirus A1,Unknown,Goiania/GO/03/01/Brazil,stool
AB010145,Unknown,human,Unknown,aichivirus A1,Unknown,A846/88,Unknown
AB040749,Unknown,Unknown,Unknown,aichivirus A1,Unknown,Unknown,Unknown
